Metaprotein,Superkingdom,Kingdom ,Phylum,Class,Order,Family,Genus,Species,UniRef50,KEGG-Number,EC-Number,P01_C,P02_C,P03_C,P04_C,P05_C,P06_C,P06b_C,P06c_C,P07_C,P07b_C,P07c_C,P08_C,P09_C,P10_C,P11_C,P12_C,P13_C,P14_C,P15_C,P16_C,P17_C,P18_CD,P18b_CD,P18c_CD,P19_CD,P20_CD,P21_CD,P22_CD,P23_CD,P24_CD,P25_CD,P26_CD,P27_CD,P28_CD,P29_UC,P30_UC,P31_UC,P32_UC,P33_UC,P34_UC,P35_UC,P36_UC,P37_UC,P38_UC,P39_UC,P40_UC,P41_UC,P42_UC
MY18A_MOUSE Unconventional myosin-XVIIIa OS=Mus musculus GN=Myo18a PE=1 SV=2,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,UniRef50_Q92614,K10362|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MYADM_PONAB Myeloid-associated differentiation marker OS=Pongo abelii GN=MYADM PE=2 SV=1,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Pongo,Pongo abelii,UniRef50_Q96S97,|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
MYADM_RAT Myeloid-associated differentiation marker OS=Rattus norvegicus GN=Myadm PE=1 SV=1,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus,UniRef50_O35682,|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
MYD88_PANTR Myeloid differentiation primary response protein MyD88 OS=Pan troglodytes GN=MYD88 PE=2 SV=1,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Pan,Pan troglodytes,UniRef50_Q99836,K04729|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYG_LAGMA Myoglobin OS=Lagostomus maximus GN=MB PE=1 SV=2,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_P04247,|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12
MYG_ORYAF Myoglobin OS=Orycteropus afer GN=MB PE=1 SV=2,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_P02144,|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,22
MYH11_MOUSE Myosin-11 OS=Mus musculus GN=Myh11 PE=1 SV=1,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,UniRef50_Q7Z406,|K10352|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
MYH2_BOVIN Myosin-2 OS=Bos taurus GN=MYH2 PE=2 SV=1,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,Bovidae,Bos,Bos taurus,UniRef50_Q9BE41,|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,2,0,0,7,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
MYH3_HUMAN Myosin-3 OS=Homo sapiens GN=MYH3 PE=1 SV=3,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_P11055,K10352|K17751|,|,0,0,0,0,0,2,3,6,0,0,0,0,3,0,0,10,0,0,0,0,0,10,4,0,0,0,29,0,0,0,38,0,3,6,0,0,0,0,0,0,0,0,0,0,0,2,4,49
MYH7_MESAU Myosin-7 OS=Mesocricetus auratus GN=MYH7 PE=2 SV=2,Eukaryota,Metazoa,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P12883,|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12,0,10,0,0,11,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,40
MYH7_RABIT Myosin-7 (Fragment) OS=Oryctolagus cuniculus GN=MYH7 PE=1 SV=1,Eukaryota,Metazoa,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus,UniRef50_P04461,|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4
MYH8_HUMAN Myosin-8 OS=Homo sapiens GN=MYH8 PE=1 SV=3,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_P13535,K10352|,|,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,3,2,2,0,0,9,0,0,13,28,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12
MYH8_RAT Myosin-8 (Fragment) OS=Rattus norvegicus GN=Myh8 PE=2 SV=1,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus,UniRef50_P04462,|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
MYH9_CANLF Myosin-9 OS=Canis lupus familiaris GN=MYH9 PE=2 SV=1,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,unassigned,unassigned,UniRef50_P35579,|K10352|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
"MYL1_MOUSE Myosin light chain 1/3, skeletal muscle isoform OS=Mus musculus GN=Myl1 PE=1 SV=2",Eukaryota,Metazoa,Chordata,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P14649,K05738|,|,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,2,0,0,4,0,0,10,6,3,0,0,0,0,0,0,0,0,0,11,0,0,0,0,4,16
MYL3_MOUSE Myosin light chain 3 OS=Mus musculus GN=Myl3 PE=1 SV=4,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_P08590,K05738|K12749|,|,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,7,6,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,12
MYL6_HUMAN Myosin light polypeptide 6 OS=Homo sapiens GN=MYL6 PE=1 SV=2,Eukaryota,Metazoa,Chordata,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P60660,|K12751|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
MYL9_BOVIN Myosin regulatory light polypeptide 9 OS=Bos taurus GN=MYL9 PE=2 SV=3,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,Bovidae,Bos,Bos taurus,UniRef50_P24844,K12757|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
PDXK_HUMAN Pyridoxal kinase OS=Homo sapiens GN=PDXK PE=1 SV=1,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,UniRef50_O00764,K00868|,2.7.1.35|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
MYO1F_MOUSE Unconventional myosin-If OS=Mus musculus GN=Myo1f PE=1 SV=1,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,UniRef50_P70248,|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
MYOD1_RAT Myoblast determination protein 1 OS=Rattus norvegicus GN=Myod1 PE=1 SV=1,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus,UniRef50_P10085,K09064|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APOB_HUMAN Apolipoprotein B-100 OS=Homo sapiens GN=APOB PE=1 SV=2,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,UniRef50_P04114,K14462|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0
"MYPC2_HUMAN Myosin-binding protein C, fast-type OS=Homo sapiens GN=MYBPC2 PE=1 SV=2",Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_Q14324,K12558|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,3,3,0,0,0,0,0,8,6,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
"MYSS_CHICK Myosin heavy chain, skeletal muscle, adult OS=Gallus gallus PE=1 SV=4",Eukaryota,Metazoa,Chordata,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P13533,|K10352|,|,0,0,0,0,0,7,0,0,0,0,0,0,8,2,0,60,0,0,0,2,0,23,24,25,78,0,169,0,0,101,125,10,0,0,2,0,5,20,0,2,0,0,9,0,0,4,46,91
"MYSS_CYPCA Myosin heavy chain, fast skeletal muscle OS=Cyprinus carpio PE=2 SV=2",Eukaryota,Metazoa,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,Cyprinus carpio,UniRef50_Q90339,|,|,6,0,0,1,0,2,3,3,0,0,0,3,3,1,0,7,2,0,0,0,0,6,6,6,14,0,24,0,0,8,12,3,2,6,2,0,0,10,0,0,0,0,9,3,4,2,12,10
"MYSS_RABIT Myosin heavy chain, skeletal muscle (Fragments) OS=Oryctolagus cuniculus PE=1 SV=2",Eukaryota,Metazoa,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus,UniRef50_P02562,|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NACA_CRYNJ Nascent polypeptide-associated complex subunit alpha OS=Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) GN=EGD2 PE=3 SV=1,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Filobasidiella,Cryptococcus neoformans,UniRef50_P0CP06,K03626|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGB_BACFR Glucosamine-6-phosphate deaminase OS=Bacteroides fragilis (strain YCH46) GN=nagB PE=3 SV=1,Bacteria,unassigned,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,UniRef50_Q87K60,K02564|,3.5.99.6|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGB_BIFLS Glucosamine-6-phosphate deaminase OS=Bifidobacterium longum subsp. infantis (strain ATCC 15697 / DSM 20088 / JCM 1222 / NCTC 11817 / S12) GN=nagB PE=3 SV=1,Bacteria,unassigned,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,UniRef50_Q9K487,K02564|,3.5.99.6|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGB_PARD8 Glucosamine-6-phosphate deaminase OS=Parabacteroides distasonis (strain ATCC 8503 / DSM 20701 / CIP 104284 / JCM 5825 / NCTC 11152) GN=nagB PE=3 SV=1,Bacteria,unassigned,Bacteroidetes,Bacteroidia,Bacteroidales,unassigned,unassigned,unassigned,UniRef50_P44538,K02564|,3.5.99.6|,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NALDL_HUMAN N-acetylated-alpha-linked acidic dipeptidase-like protein OS=Homo sapiens GN=NAALADL1 PE=1 SV=2,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_Q9UQQ1,K01301|,3.4.17.21|,0,1,0,3,4,2,2,2,1,0,1,3,3,3,2,4,4,8,3,2,2,0,0,0,0,14,0,5,0,0,4,4,0,0,0,2,0,4,0,2,0,0,0,2,0,8,6,2
NANA_CLOPS N-acetylneuraminate lyase OS=Clostridium perfringens (strain SM101 / Type A) GN=nanA PE=3 SV=1,Bacteria,unassigned,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium perfringens,UniRef50_P59407,K01639|,4.1.3.3|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NANA_ECO8A N-acetylneuraminate lyase OS=Escherichia coli O8 (strain IAI1) GN=nanA PE=3 SV=1,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unassigned,unassigned,UniRef50_Q8FD58,K01639|,4.1.3.3|,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NARH_BACSU Nitrate reductase beta chain OS=Bacillus subtilis (strain 168) GN=narH PE=3 SV=1,Bacteria,unassigned,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis subsp. subtilis str. 168,UniRef50_P42176,K00371|,1.7.99.4|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDK_CORDI Nucleoside diphosphate kinase OS=Corynebacterium diphtheriae (strain ATCC 700971 / NCTC 13129 / Biotype gravis) GN=ndk PE=3 SV=2,Bacteria,unassigned,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae,UniRef50_P22887,K00940|,2.7.4.6|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
NDK_EXIS2 Nucleoside diphosphate kinase OS=Exiguobacterium sibiricum (strain DSM 17290 / JCM 13490 / 255-15) GN=ndk PE=3 SV=1,Bacteria,unassigned,Firmicutes,Bacilli,Bacillales,unassigned,Exiguobacterium,Exiguobacterium sibiricum,UniRef50_Q5M011,K00940|,2.7.4.6|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
NDK_PROMT Nucleoside diphosphate kinase OS=Prochlorococcus marinus (strain NATL2A) GN=ndk PE=3 SV=1,Bacteria,unassigned,Cyanobacteria,unassigned,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus,UniRef50_P47922,K00940|,2.7.4.6|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDK_SYNS9 Nucleoside diphosphate kinase OS=Synechococcus sp. (strain CC9902) GN=ndk PE=3 SV=1,Bacteria,unassigned,Cyanobacteria,unassigned,Chroococcales,unassigned,Synechococcus,Synechococcus sp. CC9902,UniRef50_Q0I6J3,K00940|,2.7.4.6|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDK3_ARATH Nucleoside diphosphate kinase III, chloroplastic/mitochondrial OS=Arabidopsis thaliana GN=NDPK3 PE=1 SV=1",Eukaryota,Viridiplantae,Streptophyta,unassigned,Brassicales,Brassicaceae,Arabidopsis,Arabidopsis thaliana,UniRef50_O49203,K00940|,2.7.4.6|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDKA_RAT Nucleoside diphosphate kinase A OS=Rattus norvegicus GN=Nme1 PE=1 SV=1,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_P15531-2,|K00940|,2.7.4.6|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
NDKB_MERPO Nucleoside diphosphate kinase B (Fragments) OS=Merluccius polli GN=nme2 PE=1 SV=1,Eukaryota,Metazoa,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,unassigned,UniRef50_P85290,|,2.7.4.6|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEMF_MOUSE Nuclear export mediator factor Nemf OS=Mus musculus GN=Nemf PE=1 SV=2,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,UniRef50_O60524,|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEP_PONAB Neprilysin OS=Pongo abelii GN=MME PE=2 SV=2,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_P08473,K01389|,3.4.24.11|,15,0,2,2,0,0,0,0,1,1,1,12,0,0,0,0,0,8,1,5,0,0,0,0,4,0,0,9,0,0,1,6,0,7,0,0,0,6,6,0,0,0,10,0,0,3,0,0
ARPC3_MOUSE Actin-related protein 2/3 complex subunit 3 OS=Mus musculus GN=Arpc3 PE=1 SV=3,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,UniRef50_O15145,K05756|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
NHRF1_MACFA Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Macaca fascicularis GN=SLC9A3R1 PE=2 SV=1,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,Macaca fascicularis,UniRef50_O14745,K13365|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIFJ_ECOLI Probable pyruvate-flavodoxin oxidoreductase OS=Escherichia coli (strain K12) GN=ydbK PE=3 SV=2,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia coli,UniRef50_P52647,K03737|,1.2.7.-|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
NIFJ_KLEPN Pyruvate-flavodoxin oxidoreductase OS=Klebsiella pneumoniae GN=nifJ PE=3 SV=2,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unassigned,unassigned,UniRef50_P03833,|,1.2.7.-|,21,6,2,11,8,8,6,7,10,7,0,15,1,11,8,7,6,4,8,9,0,4,2,4,0,15,23,7,20,4,17,14,20,25,0,2,3,25,8,0,0,0,10,0,15,12,12,35
NIFJ_NOSS1 Pyruvate-flavodoxin oxidoreductase OS=Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) GN=nifJ PE=2 SV=2,Bacteria,unassigned,Cyanobacteria,unassigned,Nostocales,Nostocaceae,Nostoc,Nostoc sp. PCC 7120,UniRef50_Q06879,K03737|,1.2.7.-|,11,5,2,6,5,6,6,6,6,5,0,6,0,6,6,5,6,4,7,6,0,2,0,0,0,5,6,0,4,0,4,4,7,8,0,0,0,8,3,0,0,0,2,0,5,4,3,9
NIFJ_RHORT Pyruvate-flavodoxin oxidoreductase OS=Rhodospirillum rubrum (strain ATCC 11170 / ATH 1.1.1 / DSM 467 / LMG 4362 / NCIB 8255 / S1) GN=nifJ PE=3 SV=2,Bacteria,unassigned,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillum,Rhodospirillum rubrum,UniRef50_Q53046,K03737|,1.2.7.-|,1,0,0,0,1,1,0,1,0,0,0,0,1,2,0,1,2,1,1,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,4
NOB1_BOVIN RNA-binding protein NOB1 OS=Bos taurus GN=NOB1 PE=2 SV=1,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,Bovidae,Bos,Bos taurus,UniRef50_Q9ULX3,K11883|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NODF_RHILT Nodulation protein F OS=Rhizobium leguminosarum bv. trifolii GN=nodF PE=3 SV=1,Bacteria,unassigned,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium leguminosarum,UniRef50_P04685,|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOS_ANOST Nitric oxide synthase OS=Anopheles stephensi PE=2 SV=2,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles stephensi,UniRef50_Q27571,|,1.14.13.39|,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPC2_PANTR Epididymal secretory protein E1 OS=Pan troglodytes GN=NPC2 PE=2 SV=1,Eukaryota,Metazoa,Chordata,Mammalia,Primates,unassigned,unassigned,unassigned,UniRef50_P61916,K13443|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0
NPM_BOVIN Nucleophosmin OS=Bos taurus GN=NPM1 PE=2 SV=1,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_P06748,K11276|,|,8,4,4,2,3,3,3,0,0,0,0,6,3,0,4,0,5,6,4,3,5,6,3,4,0,0,5,2,4,3,4,4,0,0,0,5,3,0,0,0,0,4,2,1,0,0,3,0
NPR3_DEBHA Nitrogen permease regulator 3 OS=Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / JCM 1990 / NBRC 0083 / IGC 2968) GN=NPR3 PE=3 SV=2,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces hansenii,UniRef50_Q6BQU8,K20406|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPT2B_BOVIN Sodium-dependent phosphate transport protein 2B OS=Bos taurus GN=SLC34A2 PE=1 SV=1,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,Bovidae,Bos,Bos taurus,UniRef50_O95436,K14683|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NQOR_ECODH NAD(P)H dehydrogenase (quinone) OS=Escherichia coli (strain K12 / DH10B) GN=ECDH10B_1076 PE=3 SV=1,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unassigned,unassigned,UniRef50_C1I202,K03809|,1.6.5.2|,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NQOR_YERPY NAD(P)H dehydrogenase (quinone) OS=Yersinia pseudotuberculosis serotype O:3 (strain YPIII) GN=YPK_2363 PE=3 SV=1,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Yersinia,unassigned,UniRef50_Q89D74,K03809|,1.6.5.2|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NU5C_CRYJA NAD(P)H-quinone oxidoreductase subunit 5, chloroplastic OS=Cryptomeria japonica GN=ndhF PE=3 SV=1",Eukaryota,Viridiplantae,Streptophyta,Coniferopsida,Coniferales,Cupressaceae,Cryptomeria,Cryptomeria japonica,UniRef50_Q859V1,|,1.6.5.-|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
